heme Name ,Song Name,Start Timestamp (mm:ss),End Timestamp (mm:ss),Time Start (sec),Time End (sec),Length (sec),Song Number,Total Start Seconds,Song URL,Lyrics
How Does,Alexander Hamilton,0:00:03,0:00:18,3,18,16,1,3,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Alexander_Hamilton.mp3,
Alexander Hamilton,Alexander Hamilton,0:01:03,0:01:32,63,92,30,1,63,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Alexander_Hamilton.mp3,
Alexander Hamilton,Alexander Hamilton,0:02:22,0:03:56,142,236,95,1,142,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Alexander_Hamilton.mp3,
"Aaron Burr, Sir","Aaron Burr, Sir",0:00:13,0:00:36,13,36,24,2,249,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Aaron_Burr_Sir.mp3,
"Talk Less, Smile More","Aaron Burr, Sir",0:00:58,0:01:30,58,90,33,2,294,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Aaron_Burr_Sir.mp3,
Stand For Nothing,"Aaron Burr, Sir",0:02:17,0:02:31,137,151,15,2,373,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Aaron_Burr_Sir.mp3,
